Neighbourhood,Break and Enter,Theft
Allston,-26.67,-1.96
Back Bay,-46.49,-19.22
Harbor Islands,20.85,0.62
Beacon Hill,-22.26,-6.28
Brighton,-5.45,-3.21
Charlestown,-15.46,4.58
Chinatown,-0.83,-6.83
Dorchester,-40.57,5.26
Downtown,-21.4,-16.8
East Boston,-5.92,7.53
Fenway,-2.43,-3.59
Hyde Park,-14.08,12.17
Jamaica Plain,-29.96,-8.72
Mattapan,-12.74,9.39
Mission Hill,-28.03,-41.35
North End,0,25.02
Roslindale,4.93,1.57
Roxbury,-0.77,0.35
South Boston,-42.11,-0.29
South End,-11.92,-2.14
West End,-46.07,2.37
West Roxbury,-12.7,-2
South Boston Waterfront,-10.2,-4
Longwood,-12.2,-2.2
